,Proto-Indo-European Root,Persian Word,Albanian Word,Proto-Indo-European URL,Persian URL,Albanian URL
110,Proto-Indo-European,کام,shat,https://en.wiktionary.orghttps://en.wikipedia.org/wiki/Proto-Indo-European_language,https://en.wiktionary.org/wiki/%DA%A9%D8%A7%D9%85,https://en.wiktionary.org/wiki/shat
111,*kʷŕ̥mis,کرم,krimb,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/k%CA%B7%C5%95%CC%A5mis,https://en.wiktionary.org/wiki/%DA%A9%D8%B1%D9%85,https://en.wiktionary.org/wiki/krimb
112,*kerp-,کرپا,karpë,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/kerp-,https://en.wiktionary.org/wiki/%DA%A9%D8%B1%D9%BE%D8%A7,https://en.wiktionary.org/wiki/karp%C3%AB
113,*gʷʰer-,گرم,garbe,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/g%CA%B7%CA%B0er-,https://en.wiktionary.org/wiki/%DA%AF%D8%B1%D9%85,https://en.wiktionary.org/wiki/garbe
114,*gʷʰer-,گرم,ngroh,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/g%CA%B7%CA%B0er-,https://en.wiktionary.org/wiki/%DA%AF%D8%B1%D9%85,https://en.wiktionary.org/wiki/ngroh
115,*gʷʰer-,گرم,ziej,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/g%CA%B7%CA%B0er-,https://en.wiktionary.org/wiki/%DA%AF%D8%B1%D9%85,https://en.wiktionary.org/wiki/ziej
116,*wĺ̥kʷos,گرگ,ujk,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/w%C4%BA%CC%A5k%CA%B7os,https://en.wiktionary.org/wiki/%DA%AF%D8%B1%DA%AF,https://en.wiktionary.org/wiki/ujk
117,*wĺ̥kʷos,گرگ,ulk,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/w%C4%BA%CC%A5k%CA%B7os,https://en.wiktionary.org/wiki/%DA%AF%D8%B1%DA%AF,https://en.wiktionary.org/wiki/ulk
118,*wĺ̥kʷos,گرگ,Ulqin,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/w%C4%BA%CC%A5k%CA%B7os,https://en.wiktionary.org/wiki/%DA%AF%D8%B1%DA%AF,https://en.wiktionary.org/wiki/Ulqin
119,*sterh₃-,گستردن,shtirem,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sterh%E2%82%83-,https://en.wiktionary.org/wiki/%DA%AF%D8%B3%D8%AA%D8%B1%D8%AF%D9%86,https://en.wiktionary.org/wiki/shtirem
120,*sterh₃-,گستردن,shtrij,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sterh%E2%82%83-,https://en.wiktionary.org/wiki/%DA%AF%D8%B3%D8%AA%D8%B1%D8%AF%D9%86,https://en.wiktionary.org/wiki/shtrij
121,*sterh₃-,گستردن,shtroj,https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/sterh%E2%82%83-,https://en.wiktionary.org/wiki/%DA%AF%D8%B3%D8%AA%D8%B1%D8%AF%D9%86,https://en.wiktionary.org/wiki/shtroj
